(71.79793548583984, 179.53582763671875), (30.65182876586914, 170.873291015625), (108.60980987548828, 161.3077850341797), (71.75653076171875, 146.0427703857422), (148.5714874267578, 131.3887176513672), (30.447406768798828, 131.4547119140625), (108.6274642944336, 121.92475891113281), (61.072139739990234, 110.29541015625), (98.4540023803711, 90.22563171386719), (30.43896484375, 90.31497192382812), (128.73678588867188, 60.78281021118164), (81.56440734863281, 60.33211898803711), (40.376625061035156, 50.928287506103516), (108.37118530273438, 30.760120391845703), (60.99308776855469, 23.938291549682617), 

(83.91636657714844, 180.03187561035156), (121.7569808959961, 121.29596710205078), (72.8381576538086, 112.45657348632812), (107.3576431274414, 90.64911651611328), (41.02070999145508, 88.89402770996094), (142.17236328125, 64.71627044677734), (93.14640045166016, 62.87249755859375), (69.7142105102539, 21.973217010498047), (114.77754211425781, 163.77755737304688), (83.96245574951172, 146.44143676757812), (37.13080978393555, 135.2657012939453), (156.87322998046875, 133.70547485351562), (55.19409942626953, 47.958927154541016), (117.03822326660156, 30.034406661987305), (43.43800354003906, 171.6354522705078), 

(94.73966217041016, 179.82919311523438), (56.10076141357422, 169.9329071044922), (94.01990509033203, 150.0835418701172), (168.77197265625, 136.66879272460938), (135.67539978027344, 119.2330551147461), (122.2118911743164, 94.79521179199219), (51.09913635253906, 90.53348541259766), (66.3164291381836, 48.16511917114258), (129.0652618408203, 26.918819427490234), (79.30229949951172, 21.903242111206055), (124.56127166748047, 160.22994995117188), (152.3187255859375, 61.44001770019531), (46.38832473754883, 133.274169921875), (82.91400146484375, 113.00759887695312), (104.95486450195312, 58.823543548583984), 

(130.58045959472656, 159.17333984375), (146.48126220703125, 118.44149017333984), (90.13670349121094, 114.71764373779297), (129.59988403320312, 97.85484313964844), (164.8709259033203, 64.08740997314453), (115.7754898071289, 59.0594367980957), (78.42819213867188, 52.365840911865234), (103.05599212646484, 179.28868103027344), (62.707252502441406, 168.74380493164062), (179.2874755859375, 139.29644775390625), (64.13172912597656, 89.3132095336914), (141.20494079589844, 26.401941299438477), (90.16783142089844, 21.447980880737305), (104.93077087402344, 151.59228515625), (55.53887939453125, 130.70062255859375), 

(115.47341918945312, 178.807861328125), (74.39239501953125, 166.96788024902344), (143.29135131835938, 156.8364715576172), (161.14125061035156, 124.5274429321289), (138.0242462158203, 98.8416748046875), (179.4312744140625, 67.49999237060547), (151.19259643554688, 31.922473907470703), (101.44408416748047, 20.784090042114258), (66.25547790527344, 130.92654418945312), (88.5055160522461, 54.52338790893555), (189.44334411621094, 139.7210693359375), (98.66509246826172, 115.31292724609375), (125.64022827148438, 58.62031936645508), (114.4163818359375, 149.17982482910156), (74.13411712646484, 89.92654418945312), 

(130.07960510253906, 180.80287170410156), (83.26950073242188, 168.55490112304688), (157.71607971191406, 161.35464477539062), (126.08580780029297, 149.557373046875), (197.64889526367188, 136.99436950683594), (108.85526275634766, 117.78277587890625), (148.97239685058594, 98.69730377197266), (85.40992736816406, 90.96879577636719), (187.95379638671875, 67.09219360351562), (137.0187530517578, 61.563716888427734), (163.91558837890625, 34.29583740234375), (113.20721435546875, 16.58493423461914), (76.98409271240234, 132.33001708984375), (171.0520782470703, 127.0401840209961), (100.69850158691406, 55.519508361816406), 

(96.06443786621094, 168.67481994628906), (171.5022430419922, 159.55752563476562), (183.08636474609375, 129.83932495117188), (93.01583862304688, 91.21830749511719), (200.4427947998047, 68.24335479736328), (149.7046356201172, 62.65367126464844), (139.43682861328125, 180.49359130859375), (134.8516845703125, 148.44606018066406), (90.82524108886719, 134.50900268554688), (209.38352966308594, 132.9877471923828), (119.82470703125, 115.4048080444336), (157.8085174560547, 96.6324462890625), (113.79071807861328, 57.94856262207031), (176.73190307617188, 30.207185745239258), (129.70289611816406, 14.846134185791016), 

